,stock,value
0,BECN,118.734292
1,CYD,1301.901978
2,PLOW,125.459186
3,ROCK,106.4253538
4,HTLD,130.7104192
5,LMT,128.9806923
6,PCAR,156.594564
7,SNA,150.8907747
8,WNC,140.7119253
9,ZTO,128.6054181
