,stock,growth
0,AXP,539.92788
1,ARCB,401.4932941
2,CAT,394.706925
3,DE,513.837414
4,PLOW,225.5168825
5,ROCK,252.6426483
6,MA,368.1179124
7,PCAR,311.3900164
8,MIDD,319.7730357
9,V,258.6253356
