,stock,growth
0,APAM,539.4381768
1,BAC,334.4240073
2,BLK,229.9680587
3,BX,292.4762327
4,C,562.4612637
5,DFS,1254.842048
6,GS,395.720368
7,GEG,390.2133008
8,KKR,399.4961203
9,OPY,179.6093282
10,RF,811.39391
11,TROW,301.2468102
12,WFC,1701.340518
