,stock,value
0,ALL,160.2614397
1,APAM,239.1881574
2,BNS,160.820274
3,C,206.0664289
4,CS,182.1657966
5,DB,196.6464044
6,DFS,156.840363
7,BEN,217.9683832
8,LAZ,210.3893676
9,MET,209.852263
10,OPY,154.8292977
11,PRU,190.0404864
12,SEIC,174.6054808
13,WBK,229.0275959
