,stock,value
0,ATVI,167.98435
1,AC,168.0764474
2,BABA,216.7816134
3,AEO,139.0861706
4,BBBY,149.3461272
5,BBY,146.1690389
6,BWA,175.0484164
7,CAAS,292.4291021
8,DJCO,374.1636762
9,FL,194.9094516
10,GPS,174.2711307
11,GM,142.325187
12,HRB,142.0201418
13,HMC,4151.376703
14,IMAX,140.0286307
15,MOV,143.5462125
16,NTES,183.6351251
17,EDU,270.106037
18,SKYW,144.8224094
19,TAL,362.0778508
20,TCS,140.8442658
21,TM,1432.45334
22,URBN,152.4861241
23,VRA,227.5648835
